"Time","State","Local","Remote","OwningPid","ProcessName","Sample"
"2026-04-05T23:44:42.6489841+08:00","TimeWait","127.0.0.1:13240","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6439840+08:00","TimeWait","127.0.0.1:13241","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6398859+08:00","TimeWait","127.0.0.1:13242","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6221791+08:00","TimeWait","127.0.0.1:13243","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6221791+08:00","TimeWait","127.0.0.1:13244","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6221791+08:00","TimeWait","127.0.0.1:13245","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.6065473+08:00","TimeWait","127.0.0.1:13246","127.0.0.1:5354","0","Idle","2"
"2026-04-05T23:44:42.6065473+08:00","TimeWait","127.0.0.1:13247","127.0.0.1:5354","0","Idle","2"
"2026-04-05T23:44:42.6065473+08:00","TimeWait","127.0.0.1:13253","127.0.0.1:27015","0","Idle","2"
"2026-04-05T23:44:42.5950429+08:00","TimeWait","127.0.0.1:13254","127.0.0.1:27015","0","Idle","2"
"2026-04-05T23:44:42.5950429+08:00","TimeWait","127.0.0.1:13258","127.0.0.1:27015","0","Idle","2"
"2026-04-05T23:44:42.5950429+08:00","TimeWait","127.0.0.1:13259","127.0.0.1:27015","0","Idle","2"
"2026-04-05T23:44:42.5904588+08:00","TimeWait","127.0.0.1:13262","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.5849533+08:00","TimeWait","127.0.0.1:13263","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.5749478+08:00","TimeWait","127.0.0.1:13265","127.0.0.1:49350","0","Idle","2"
"2026-04-05T23:44:42.5749478+08:00","TimeWait","127.0.0.1:13266","127.0.0.1:49350","0","Idle","2"
