"Time","State","Local","Remote","OwningPid","ProcessName"
"2026-04-05T23:45:15.2342150+08:00","TimeWait","127.0.0.1:13276","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2185914+08:00","TimeWait","127.0.0.1:13277","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2185914+08:00","TimeWait","127.0.0.1:13278","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.2185914+08:00","TimeWait","127.0.0.1:13279","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.1873236+08:00","TimeWait","127.0.0.1:14454","127.0.0.1:20122","0","Idle"
"2026-04-05T23:45:15.1873236+08:00","TimeWait","127.0.0.1:14580","127.0.0.1:20122","0","Idle"
"2026-04-05T23:45:15.1403597+08:00","TimeWait","127.0.0.1:20122","127.0.0.1:11678","0","Idle"
"2026-04-05T23:45:15.1403597+08:00","TimeWait","127.0.0.1:20122","127.0.0.1:12108","0","Idle"
"2026-04-05T23:45:15.1247374+08:00","TimeWait","127.0.0.1:20122","127.0.0.1:13197","0","Idle"
"2026-04-05T23:45:15.7657832+08:00","TimeWait","127.0.0.1:2163","127.0.0.1:20122","0","Idle"
"2026-04-05T23:45:15.7657832+08:00","TimeWait","127.0.0.1:2522","127.0.0.1:20122","0","Idle"
"2026-04-05T23:45:15.0508331+08:00","TimeWait","127.0.0.1:49362","127.0.0.1:13264","0","Idle"
"2026-04-05T23:45:15.7032813+08:00","TimeWait","127.0.0.1:7803","127.0.0.1:20122","0","Idle"
"2026-04-05T23:45:15.6876561+08:00","TimeWait","127.0.0.1:8867","127.0.0.1:20122","0","Idle"
"2026-04-05T23:45:15.6720304+08:00","TimeWait","127.0.0.1:9346","127.0.0.1:20122","0","Idle"
"2026-04-05T23:45:15.6720304+08:00","TimeWait","127.0.0.1:9427","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.6564060+08:00","TimeWait","127.0.0.1:9671","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.6564060+08:00","TimeWait","127.0.0.1:9672","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.6407932+08:00","TimeWait","127.0.0.1:9674","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.6407932+08:00","TimeWait","127.0.0.1:9675","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.6251559+08:00","TimeWait","127.0.0.1:9676","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.6251559+08:00","TimeWait","127.0.0.1:9677","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.6251559+08:00","TimeWait","127.0.0.1:9678","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.6251559+08:00","TimeWait","127.0.0.1:9679","127.0.0.1:5354","0","Idle"
"2026-04-05T23:45:15.6229995+08:00","TimeWait","127.0.0.1:9680","127.0.0.1:5354","0","Idle"
"2026-04-05T23:45:15.6189996+08:00","TimeWait","127.0.0.1:9686","127.0.0.1:27015","0","Idle"
"2026-04-05T23:45:15.6149997+08:00","TimeWait","127.0.0.1:9687","127.0.0.1:27015","0","Idle"
"2026-04-05T23:45:15.6099997+08:00","TimeWait","127.0.0.1:9691","127.0.0.1:27015","0","Idle"
"2026-04-05T23:45:15.6060000+08:00","TimeWait","127.0.0.1:9692","127.0.0.1:27015","0","Idle"
"2026-04-05T23:45:15.6010120+08:00","TimeWait","127.0.0.1:9696","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.5959988+08:00","TimeWait","127.0.0.1:9697","127.0.0.1:49350","0","Idle"
"2026-04-05T23:45:15.8126561+08:00","Established","127.0.0.1:1558","127.0.0.1:1559","2620","WUDFHost"
"2026-04-05T23:45:15.7970315+08:00","Established","127.0.0.1:1559","127.0.0.1:1558","2620","WUDFHost"
