"Proto","Local","Remote","State","OwningProcess"
"TCP","127.0.0.1:5354","127.0.0.1:1547","Established","6512"
"TCP","127.0.0.1:5354","127.0.0.1:1550","Established","6512"
"TCP","127.0.0.1:5653","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:5715","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:5716","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:5736","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:5738","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:5821","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:6408","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:6410","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6411","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6412","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6413","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6414","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6415","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6416","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6417","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6418","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6419","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6420","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6421","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6422","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6423","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6424","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6555","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:6557","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6973","127.0.0.1:20123","Established","4288"
